# z   mu
0.01000 17.45688
0.02505 17.42551
0.04010 17.53575
0.05515 17.65448
0.07020 17.50952
0.08525 17.53985
0.10030 17.75109
0.11535 17.69941
0.13040 17.60483
0.14545 17.73475
0.16051 17.66250
0.17556 17.69025
0.19061 17.78864
0.20566 17.60040
0.22071 17.64617
0.23576 17.78904
0.25081 17.77028
0.26586 17.92896
0.28091 17.83240
0.29596 17.80733
0.31101 18.12020
0.32606 17.97585
0.34111 18.02968
0.35616 17.90469
0.37121 18.01669
0.38626 18.10593
0.40131 18.00318
0.41636 18.17905
0.43141 18.10437
0.44646 18.15798
0.46152 18.14945
0.47657 18.41710
0.49162 18.25254
0.50667 18.16992
0.52172 18.37953
0.53677 18.19656
0.55182 18.36070
0.56687 18.16480
0.58192 18.24871
0.59697 18.42178
0.61202 18.49631
0.62707 18.45978
0.64212 18.45107
0.65717 18.45233
0.67222 18.35422
0.68727 18.44955
0.70232 18.49475
0.71737 18.66564
0.73242 18.61324
0.74747 18.42136
0.76253 18.64869
0.77758 18.59624
0.79263 18.58536
0.80768 18.73238
0.82273 18.79231
0.83778 18.80020
0.85283 18.64086
0.86788 18.71143
0.88293 18.79290
0.89798 18.87462
0.91303 18.74630
0.92808 18.79267
0.94313 18.71748
0.95818 18.72525
0.97323 18.94275
0.98828 19.01362
1.00333 18.88717
1.01838 19.01098
1.03343 18.96292
1.04848 18.87826
1.06354 18.99481
1.07859 19.12825
1.09364 18.98653
1.10869 19.16213
1.12374 18.75914
1.13879 19.11864
1.15384 19.06038
1.16889 19.03689
1.18394 19.09099
1.19899 18.89797
1.21404 19.08957
1.22909 19.16196
1.24414 19.28865
1.25919 19.10354
1.27424 19.08894
1.28929 19.13394
1.30434 19.28988
1.31939 19.24535
1.33444 19.17355
1.34949 19.29181
1.36455 19.26405
1.37960 19.36499
1.39465 19.21161
1.40970 19.26265
1.42475 19.26973
1.43980 19.17602
1.45485 19.36534
1.46990 19.37511
1.48495 19.36271
1.50000 19.35185
